date,pm25,pm10,o3,no2,so2,co
3/1/2019,76,1,15,36,7,7
3/2/2019,117,64,4,28,3,5
3/3/2019,10,64,1,22,16,5
3/4/2019,118,56,13,22,14,6
3/5/2019,2,34,15,21,6,6
3/6/2019,83,20,31,11,3,8
3/7/2019,60,67,1,30,15,9
3/8/2019,45,47,1,16,11,8
3/9/2019,8,45,1,16,12,5
3/10/2019,86,59,3,17,15,8
3/11/2019,102,49,15,15,1,7
3/12/2019,106,52,21,17,13,6
3/13/2019,21,32,19,20,14,12
3/14/2019,4,28,42,28,1,9
3/15/2019,118,40,18,18,7,4
3/16/2019,92,17,19,32,4,2
3/17/2019,71,70,1,13,5,6
3/18/2019,74,45,20,12,1,5
3/19/2019,84,5,25,19,21,3
3/20/2019,67,48,33,22,9,6
3/21/2019,56,26,19,15,19,10
3/22/2019,78,63,1,1,14,8
3/23/2019,60,59,4,9,7,4
3/24/2019,118,60,23,2,6,13
3/25/2019,83,26,35,12,1,6
3/26/2019,119,39,12,18,17,7
3/27/2019,2,39,46,20,13,7
3/28/2019,16,42,40,28,8,6
3/29/2019,106,32,1,7,19,11
3/30/2019,2,41,8,27,18,6
3/31/2019,58,30,33,39,22,7
4/1/2019,104,22,1,25,7,7
4/2/2019,109,69,18,25,8,14
4/3/2019,64,1,40,9,11,6
4/4/2019,88,38,38,29,2,2
4/5/2019,48,7,10,26,12,4
4/6/2019,83,22,35,22,16,10
4/7/2019,87,17,1,6,11,6
4/8/2019,80,31,30,22,6,9
4/9/2019,96,41,19,4,12,7
4/10/2019,2,17,31,31,5,11
4/11/2019,2,63,41,15,8,4
4/12/2019,35,55,12,24,4,10
4/13/2019,76,39,30,20,13,6
4/14/2019,2,58,1,11,12,9
4/15/2019,38,36,33,19,17,13
4/16/2019,41,62,5,15,16,11
4/17/2019,49,1,36,36,15,5
4/18/2019,64,1,27,23,6,6
4/19/2019,71,15,20,1,15,10
4/20/2019,25,51,1,28,5,7
4/21/2019,42,45,51,29,14,2
4/22/2019,60,25,23,19,10,8
4/23/2019,2,24,6,14,16,12
4/24/2019,84,34,22,10,8,2
4/25/2019,25,47,1,26,8,6
4/26/2019,91,46,1,40,10,5
4/27/2019,39,71,13,23,8,5
4/28/2019,80,47,1,11,13,5
4/29/2019,166,60,18,32,8,12
4/30/2019,168,78,10,28,1,9
5/1/2019,14,1,10,18,11,6
5/2/2019,36,50,1,23,1,7
5/3/2019,61,102,13,36,6,7
5/4/2019,31,19,17,24,15,8
5/5/2019,86,55,71,10,11,10
5/6/2019,2,18,24,6,7,9
5/7/2019,63,73,56,35,12,11
5/8/2019,15,69,25,7,18,11
5/9/2019,11,66,5,15,11,11
5/10/2019,83,43,4,12,22,9
5/11/2019,17,37,18,8,13,8
5/12/2019,32,16,21,19,7,9
5/13/2019,2,37,54,32,5,7
5/14/2019,98,23,17,20,18,9
5/15/2019,49,3,14,4,2,5
5/16/2019,105,40,24,24,17,6
5/17/2019,94,21,1,25,2,9
5/18/2019,74,47,37,26,9,10
5/19/2019,29,29,1,20,12,6
5/20/2019,107,53,19,19,19,6
5/21/2019,121,47,25,13,17,1
5/22/2019,120,49,31,19,5,6
5/23/2019,63,38,6,41,24,4
5/24/2019,49,38,13,18,19,10
5/25/2019,83,19,4,37,10,13
5/26/2019,46,24,24,30,20,3
5/27/2019,36,51,18,22,15,8
5/28/2019,69,62,19,17,15,11
5/29/2019,29,1,3,16,9,2
5/30/2019,64,19,13,14,27,11
5/31/2019,18,45,1,13,6,8
6/1/2019,95,15,13,5,20,6
6/2/2019,41,18,1,24,10,10
6/3/2019,22,62,5,15,19,12
6/4/2019,65,29,1,13,21,6
6/5/2019,22,51,1,9,16,10
6/6/2019,27,39,2,20,16,15
6/7/2019,138,22,38,9,9,9
6/8/2019,89,16,7,19,9,8
