date,pm25,pm10,o3,no2,so2,co
3/1/2024,5,28,141,10,500,
2/29/2024,64,37,149,10,500,
2/28/2024,39,25,146,14,500,
2/27/2024,24,10,141,21,500,
2/26/2024,43,37,145,11,500,
2/25/2024,34,26,141,14,500,
2/24/2024,72,13,146,11,500,
2/23/2024,5,44,130,15,500,
2/22/2024,16,30,118,16,500,
2/21/2024,48,17,10,10,500,
2/20/2024,54,24,13,11,500,
2/19/2024,24,27,12,9,500,
2/18/2024,44,13,14,10,500,
2/17/2024,7,3,19,9,500,
2/16/2024,28,17,25,8,500,
2/15/2024,6,18,21,8,500,
2/14/2024,47,17,20,9,500,
2/13/2024,64,32,16,7,500,
2/12/2024,52,27,13,7,500,
2/11/2024,27,29,41,6,500,
2/10/2024,56,3,38,6,500,
2/9/2024,42,39,89,7,500,
2/8/2024,51,21,141,8,500,
2/7/2024,46,25,138,11,500,
2/6/2024,26,23,45,15,500,
2/5/2024,46,10,18,12,500,
2/4/2024,37,23,13,9,500,
2/3/2024,77,19,11,7,500,
2/2/2024,29,41,9,7,500,
2/1/2024,27,15,11,9,500,
1/31/2024,5,14,17,16,500,
1/30/2024,46,26,19,18,500,
1/29/2024,49,42,42,14,500,
1/28/2024,60,9,133,11,500,
1/27/2024,63,14,121,10,500,
1/26/2024,61,25,132,11,500,
1/25/2024,57,30,103,11,500,
1/24/2024,5,30,101,11,500,
1/23/2024,58,22,28,11,500,
1/22/2024,13,28,22,7,500,
1/21/2024,17,31,32,11,500,
1/20/2024,29,3,24,2,500,
1/19/2024,20,43,21,19,500,
1/18/2024,33,47,34,3,500,
1/17/2024,39,31,24,11,500,
1/16/2024,29,20,8,7,500,
1/15/2024,30,15,6,7,500,
1/14/2024,49,18,5,8,500,
1/13/2024,53,25,6,8,500,
1/12/2024,47,26,7,9,500,
1/11/2024,60,23,5,9,500,
1/10/2024,54,30,5,8,500,
1/9/2024,41,26,2,8,500,
1/8/2024,47,21,14,10,500,
1/7/2024,57,24,24,18,500,
1/6/2024,54,30,32,22,500,
1/5/2024,76,27,21,25,500,
1/4/2024,52,39,18,29,500,
1/3/2024,39,30,21,25,500,
1/2/2024,63,20,10,20,500,
1/1/2024,46,32,21,21,500,
12/31/2023,60,23,29,21,500,
12/30/2023,54,31,21,22,500,
12/29/2023,71,27,15,25,500,
12/28/2023,85,35,29,35,500,
12/27/2023,96,42,33,30,500,
12/26/2023,84,48,35,30,500,
12/25/2023,53,42,24,32,500,
12/24/2023,68,30,22,25,500,
12/23/2023,79,37,21,25,500,
12/22/2023,68,42,19,26,500,
12/21/2023,50,35,23,21,500,
12/20/2023,35,27,20,22,500,
12/19/2023,27,18,9,19,500,
12/18/2023,46,14,6,12,500,
12/17/2023,29,24,3,21,500,
12/16/2023,25,16,3,17,500,
12/15/2023,25,14,5,17,500,
12/14/2023,40,12,13,18,500,
12/13/2023,68,20,15,17,500,
12/12/2023,37,34,29,24,500,
12/11/2023,36,18,15,19,500,
12/10/2023,36,18,11,19,500,
12/9/2023,46,18,17,20,500,
12/8/2023,49,22,19,23,500,
12/7/2023,52,25,31,26,500,
12/6/2023,48,27,18,20,500,
12/5/2023,31,25,8,21,500,
12/4/2023,58,15,10,20,500,
12/3/2023,78,29,9,15,500,
12/2/2023,66,40,10,25,500,
12/1/2023,43,33,10,26,500,
11/30/2023,47,22,13,17,500,
11/29/2023,94,23,18,22,500,
11/28/2023,96,45,29,28,500,
11/27/2023,81,47,32,28,500,
11/26/2023,55,41,32,24,500,
11/25/2023,79,29,29,20,500,
11/24/2023,85,39,33,27,500,
11/23/2023,55,43,30,27,500,
11/22/2023,75,28,21,23,500,
11/21/2023,66,37,22,30,500,
11/20/2023,59,34,43,28,500,
11/19/2023,50,30,38,28,500,
11/18/2023,40,27,27,28,500,
11/17/2023,27,24,22,26,500,
11/16/2023,27,18,18,19,500,
11/15/2023,52,16,14,19,500,
11/14/2023,29,26,15,23,500,
11/13/2023,24,13,6,13,500,
11/12/2023,37,12,3,11,500,
11/11/2023,21,18,2,16,500,
11/10/2023,11,10,4,12,500,
11/9/2023,16,6,3,10,500,
11/8/2023,43,8,4,11,500,
11/7/2023,40,22,8,16,500,
11/6/2023,33,21,8,16,500,
11/5/2023,27,17,4,14,500,
11/4/2023,29,14,5,12,500,
11/3/2023,37,14,4,12,500,
11/2/2023,60,18,6,14,500,
11/1/2023,59,33,10,18,500,
10/31/2023,40,30,13,15,500,
10/30/2023,17,21,9,16,500,
10/29/2023,39,8,6,15,500,
10/28/2023,38,20,5,14,500,
10/27/2023,52,19,7,20,500,
10/26/2023,47,26,18,26,500,
10/25/2023,42,24,22,29,500,
10/24/2023,33,20,28,26,500,
10/23/2023,39,17,17,23,500,
10/22/2023,14,20,13,24,500,
10/21/2023,18,7,15,17,500,
10/20/2023,17,11,15,20,500,
10/19/2023,21,12,18,13,500,
10/18/2023,52,10,16,14,500,
10/17/2023,59,28,23,22,500,
10/16/2023,54,34,42,26,500,
10/15/2023,45,28,31,19,500,
10/14/2023,65,24,25,14,500,
10/13/2023,36,33,21,13,500,
10/12/2023,30,19,3,11,500,
