date,pm25,pm10,o3,no2,so2,co
3/1/2024,20,22,25,4,9,2
2/29/2024,22,14,28,5,9,1
2/28/2024,37,15,6,4,9,5
2/27/2024,16,25,36,5,9,4
2/26/2024,31,10,31,4,9,7
2/25/2024,15,20,5,4,10,4
2/24/2024,15,10,1,2,9,2
2/23/2024,50,10,17,3,9,6
2/22/2024,52,34,5,2,10,1
2/21/2024,70,34,19,1,10,3
2/20/2024,76,44,38,1,11,7
2/19/2024,50,49,21,1,10,6
2/18/2024,51,31,9,1,10,5
2/17/2024,65,32,29,2,10,3
2/16/2024,73,41,42,2,10,1
2/15/2024,41,44,21,4,10,2
2/14/2024,44,26,1,3,10,4
2/13/2024,49,28,34,2,10,9
2/12/2024,48,32,11,1,10,1
2/11/2024,25,28,31,2,10,3
2/10/2024,53,14,31,2,10,2
2/9/2024,25,31,15,1,10,8
2/8/2024,25,16,29,1,8,3
2/7/2024,65,16,20,1,8,3
2/6/2024,79,42,1,3,9,8
2/5/2024,57,49,10,3,9,2
2/4/2024,50,36,17,2,10,1
2/3/2024,59,31,9,2,9,4
2/2/2024,47,39,20,3,9,4
2/1/2024,32,30,1,5,10,7
1/31/2024,39,21,16,5,9,3
1/30/2024,69,25,26,5,8,3
1/29/2024,51,44,21,6,8,4
1/28/2024,45,33,18,5,8,6
1/27/2024,63,30,1,6,8,3
1/26/2024,59,42,18,8,8,6
1/25/2024,54,36,26,5,8,4
1/24/2024,53,30,4,7,9,1
1/23/2024,1,3,12,5,8,7
1/22/2024,80,40,16,8,12,1
1/21/2024,68,1,15,7,2,2
1/20/2024,2,34,39,7,8,7
1/19/2024,2,46,25,13,10,6
1/18/2024,115,15,5,1,10,5
1/17/2024,36,9,9,12,14,4
1/16/2024,47,24,38,5,9,5
1/15/2024,58,32,1,10,10,6
1/14/2024,37,38,1,7,10,6
1/13/2024,18,25,24,5,8,5
1/12/2024,10,12,4,5,8,2
1/11/2024,18,6,16,4,8,5
1/10/2024,37,12,32,7,8,1
1/9/2024,60,24,48,5,10,6
1/8/2024,66,39,27,4,9,2
1/7/2024,70,42,13,4,9,1
1/6/2024,55,44,18,4,9,8
1/5/2024,56,34,10,7,9,7
1/4/2024,63,36,34,6,9,4
1/3/2024,46,36,1,7,11,3
1/2/2024,81,29,16,7,10,4
1/1/2024,75,48,59,3,9,1
12/31/2023,66,43,10,5,10,1
12/30/2023,89,40,14,5,9,2
12/29/2023,93,51,23,9,9,4
12/28/2023,80,51,36,11,9,5
12/27/2023,92,45,33,13,8,6
12/26/2023,91,50,1,12,8,3
12/25/2023,65,49,41,15,10,6
12/24/2023,66,35,21,12,9,4
12/23/2023,58,35,4,8,8,11
12/22/2023,53,32,15,11,8,5
12/21/2023,44,30,21,10,8,2
12/20/2023,20,24,22,8,8,7
12/19/2023,28,12,31,6,7,3
12/18/2023,39,18,1,7,7,6
12/17/2023,33,22,23,5,8,4
12/16/2023,58,19,4,4,7,1
12/15/2023,64,45,20,5,9,7
12/14/2023,75,41,23,6,8,4
12/13/2023,69,45,13,4,8,4
12/12/2023,84,44,4,6,9,9
12/11/2023,101,64,30,7,9,1
12/10/2023,101,64,36,8,8,2
12/9/2023,88,58,7,5,7,3
12/8/2023,88,50,25,9,8,3
12/7/2023,38,52,21,12,9,6
12/6/2023,38,24,12,9,7,6
12/5/2023,41,25,49,7,7,8
12/4/2023,35,28,17,7,7,4
12/3/2023,68,24,1,8,7,5
12/2/2023,50,44,1,7,7,1
12/1/2023,35,33,1,7,6,5
11/30/2023,113,23,19,6,6,2
11/29/2023,117,61,15,9,8,1
11/28/2023,102,63,1,11,7,1
11/27/2023,86,56,35,12,8,1
11/26/2023,75,51,17,10,7,3
11/25/2023,90,46,1,7,8,6
11/24/2023,94,50,12,7,9,8
11/23/2023,84,53,28,10,8,1
11/22/2023,100,48,11,8,7,5
11/21/2023,87,57,3,8,8,6
11/20/2023,64,50,24,9,9,4
11/19/2023,47,38,16,11,7,1
11/18/2023,41,30,1,9,7,2
11/17/2023,24,27,3,9,7,5
11/16/2023,29,15,1,7,7,1
11/15/2023,61,19,21,4,7,7
11/14/2023,22,38,14,5,7,2
11/13/2023,14,14,15,5,6,7
11/12/2023,31,9,30,4,6,3
11/11/2023,39,21,19,2,7,10
11/10/2023,51,25,3,4,7,3
11/9/2023,58,32,21,5,7,9
11/8/2023,70,36,29,6,6,1
11/7/2023,34,52,48,5,7,4
11/6/2023,30,29,27,4,6,5
11/5/2023,40,20,16,5,8,5
11/4/2023,39,26,17,3,6,7
11/3/2023,80,25,7,5,6,2
11/2/2023,97,48,5,5,7,9
11/1/2023,66,54,1,6,7,5
10/31/2023,39,40,16,7,7,9
10/30/2023,36,25,16,6,7,4
10/29/2023,42,26,26,5,7,1
10/28/2023,47,34,12,3,6,4
10/27/2023,64,30,22,4,7,6
10/26/2023,47,37,28,6,8,3
10/25/2023,61,29,25,6,7,4
10/24/2023,83,37,15,4,6,1
10/23/2023,56,51,8,6,7,7
10/22/2023,41,32,49,6,7,9
10/21/2023,19,24,36,5,8,3
10/20/2023,35,11,6,4,7,3
10/19/2023,56,21,6,3,6,3
10/18/2023,66,35,30,5,6,5
10/17/2023,53,39,7,7,6,9
10/16/2023,35,33,22,7,6,4
10/15/2023,14,23,20,6,6,4
10/14/2023,45,9,32,3,6,3
10/13/2023,35,28,28,4,6,3
10/12/2023,35,22,19,4,6,3
10/11/2023,27,22,15,5,7,4
10/10/2023,28,16,6,5,6,3
10/9/2023,31,17,6,4,6,3
10/8/2023,15,18,25,4,6,3
10/7/2023,25,12,4,3,6,3
10/6/2023,43,17,3,3,5,3
10/5/2023,42,27,48,4,5,2
10/4/2023,57,26,24,6,5,4
10/3/2023,55,35,10,6,5,4
10/2/2023,40,34,17,7,5,5
10/1/2023,33,25,35,4,5,3
9/30/2023,28,22,10,4,5,3
9/29/2023,16,18,21,3,4,3
9/28/2023,8,10,15,3,4,3
9/27/2023,10,5,10,3,5,3
9/26/2023,16,7,26,2,5,2
9/25/2023,40,10,1,2,5,2
9/24/2023,32,25,25,4,5,3
9/23/2023,26,19,17,2,5,2
9/22/2023,75,16,26,3,5,2
9/21/2023,48,29,36,8,10,5
9/20/2023,45,23,56,9,6,2
9/19/2023,22,7,12,10,1,4
9/18/2023,4,43,3,6,9,3
9/17/2023,17,38,18,4,27,12
9/16/2023,18,12,4,2,5,2
9/15/2023,11,11,26,3,4,3
